fixture_id,name,halftime,minute,Successful.Passes_home,Successful.Passes_away,Ball.Possession_home,Ball.Possession_away,Goals_home,Goals_away,Attacks_home,Attacks_away,Yellowcards_home,Yellowcards_away,Redcards_home,Redcards_away,Penalties_home,Penalties_away
19155076,Parma vs Fiorentina,2nd-half,58,120,217,39,61,1,0,48,47,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,59,121,220,39,61,1,0,48,51,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,60,121,220,39,61,1,0,49,55,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,61,121,220,39,61,1,0,49,56,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,62,121,243,37,63,1,0,49,56,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,63,121,243,37,63,1,0,50,57,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,64,127,255,37,63,1,0,50,57,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,65,127,255,37,63,1,0,50,58,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,66,133,261,38,62,1,0,51,58,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,67,133,261,38,62,1,0,51,58,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,68,135,277,37,63,1,0,51,61,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,69,135,277,37,63,1,0,51,64,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,70,136,290,36,64,1,0,53,64,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,71,142,295,36,64,1,0,53,66,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,72,153,300,37,63,1,0,57,68,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,73,155,302,37,63,1,0,57,68,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,74,155,302,37,63,1,0,57,68,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,75,155,302,37,63,1,0,57,68,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,76,155,303,37,63,1,0,57,68,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,77,155,303,37,63,1,1,57,68,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,78,155,303,37,63,1,1,57,68,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,79,157,303,37,63,1,1,58,71,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,80,157,303,37,63,1,1,58,71,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,81,157,308,37,63,1,1,59,74,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,82,157,308,37,63,1,1,59,74,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,83,162,317,37,63,1,1,59,76,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,84,167,321,37,63,1,1,61,78,2,1,0,0,0,0
19155076,Parma vs Fiorentina,2nd-half,85,167,321,37,63,1,1,61,79,2,1,0,1,0,0
19155076,Parma vs Fiorentina,2nd-half,86,169,327,37,63,1,1,62,79,2,2,0,1,0,0
19155076,Parma vs Fiorentina,2nd-half,87,171,327,37,63,1,1,63,80,2,2,0,1,0,0
19155076,Parma vs Fiorentina,2nd-half,88,171,327,37,63,1,1,64,81,2,2,0,1,0,0
19155076,Parma vs Fiorentina,2nd-half,89,177,330,38,62,1,1,64,83,3,2,0,1,0,0
19155076,Parma vs Fiorentina,2nd-half,90,177,330,38,62,1,1,65,83,3,2,0,1,0,0
19155076,Parma vs Fiorentina,2nd-half,91,182,340,38,62,1,1,65,83,3,2,0,1,0,0
19155076,Parma vs Fiorentina,2nd-half,92,183,347,37,63,1,1,65,84,3,2,0,1,0,0
19155076,Parma vs Fiorentina,2nd-half,93,183,347,37,63,1,1,68,84,3,2,0,1,0,0
19155076,Parma vs Fiorentina,2nd-half,94,194,348,38,62,1,1,68,84,3,2,0,1,0,0
19155076,Parma vs Fiorentina,2nd-half,95,195,348,39,61,1,1,70,84,3,2,0,1,0,0
19155076,Parma vs Fiorentina,2nd-half,96,197,354,38,62,1,1,70,84,3,2,0,1,0,0
19155076,Parma vs Fiorentina,2nd-half,97,200,354,39,61,1,1,72,85,3,2,0,1,0,0
19135258,Osasuna vs Leganés,1st-half,1,1,1,67,33,0,0,3,0,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,2,12,3,76,24,0,1,7,0,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,3,12,3,74,26,0,0,7,0,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,4,12,3,74,26,0,0,12,0,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,5,12,3,74,26,0,0,12,2,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,6,12,3,74,26,0,0,18,4,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,7,12,3,74,26,0,0,18,5,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,8,20,23,50,50,0,0,19,6,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,9,23,33,46,54,0,0,19,7,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,10,24,36,45,55,0,0,19,10,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,11,24,36,45,55,0,0,21,10,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,12,31,36,48,52,0,0,26,10,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,13,31,36,48,52,0,0,28,11,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,14,46,37,56,44,0,0,28,13,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,15,47,45,52,48,0,0,28,15,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,16,48,45,51,49,0,0,28,15,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,17,48,45,51,49,0,0,28,16,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,18,49,46,51,49,0,0,28,16,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,19,49,46,51,49,0,0,30,18,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,20,56,50,52,48,0,0,31,18,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,21,59,50,53,47,0,0,31,20,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,22,59,54,51,49,0,1,31,20,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,23,59,57,51,49,0,1,31,20,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,24,60,57,51,49,0,1,32,20,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,25,60,59,51,49,0,1,35,20,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,26,60,59,51,49,0,1,35,20,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,27,60,59,51,49,0,1,35,20,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,28,60,59,51,49,0,1,37,20,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,29,60,59,51,49,0,1,37,21,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,30,60,59,51,49,0,1,39,22,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,31,72,62,55,45,0,1,40,22,0,0,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,32,78,62,56,44,0,1,43,22,0,1,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,33,81,69,55,45,0,1,44,24,0,1,0,0,0,0
19135258,Osasuna vs Leganés,1st-half,34,81,69,55,45,0,1,46,24,0,1,0,0,0,0
